Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Channel 32,Channel 33,Channel 34,Channel 35,Channel 36,Channel 37,Channel 38,Channel 39,Channel 40,Channel 41,Channel 42,Channel 43,Channel 44,Channel 45,Channel 46,Channel 47,Channel 48,Channel 49,Channel 50,Channel 51,Channel 52,Channel 53,Channel 54,Channel 55,Channel 56,Channel 57,Channel 58,Channel 59,Channel 60,Channel 61,Channel 62,Channel 63,Channel 64,Channel 65,Channel 66,Channel 67,Channel 68,Channel 69,Channel 70,Channel 71,Channel 72,Channel 73,Channel 74,Channel 75,Channel 76,Channel 77,Channel 78,Channel 79,Channel 80,Channel 81,Channel 82,Channel 83,Channel 84,Channel 85,Channel 86,Channel 87,Channel 88,Channel 89,Channel 90,Channel 91,Channel 92,Channel 93,Channel 94,Channel 95,Channel 96,Channel 97,Channel 98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06091259945677e-22,1.06951483989581e-17,1.54882591480118e-09,3.83130171306136e-07,8.01426706418643e-06,0.0263142672944136,1.22927153074874,189.379323979828,182.940532553809,1.19859149722022,0.0431612362805689,3.63467383970124,3.99191859029207,0.03505323543057,0.65739868569795,58.2268143353023,65.5256856612889,0.753906770216376,0.209142089154418,23.3964974962066,23.8832060912849,0.265596633947653,0.317228073525833,25.6101449728944,23.9643019036226,0.260181913937352,0.0143825302103407,0.0341383695787511,8.74789126148158,13.9169498684498,43.1515516083464,36.3723332735254,0.344672497009877,0.0140028707854304,0.0469550429909836,9.99014044680269,10.96787667726,0.149459607587244,4.47363943633849,4.49041861449338,0.0356240682567301,0.0445463433975053,3.79024163344783,3.80724704950797,0.0334159373554461,0.00239357447938929,0.1473246084869,0.146414100956044,0.000212902430307504,0.00137222668029919,0.52898952738938,0.547651998192486,0.0023587671023831,0.00239255243287065,0.767516024845782,0.749379429163831,0.00146591897344623,8.87787771691794e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17282562030204e-23,1.87841706492562e-18,2.92562264074581e-10,1.20876602651189e-07,2.37266797594622e-06,0.00814267726258498,0.302615663888102,24.2022185974343,23.9952594275156,0.313157396322084,0.0268113998722109,3.8896138725915,3.54104255208256,0.0330346858218819,0.0690803720822702,7.41409973009372,7.19122619520467,0.0709935728433584,0.0434040318617597,4.45855317960433,4.33262501669097,0.0314364077705667,0.0157643042245598,2.62531511037199,2.62855593567798,0.00932025792629019,0.00246565712379906,0.0160381311019981,3.51243976635732,4.52823376926964,2.9154607239143,2.28143259451242,0.00663326953464743,0.000510122879897343,0.000344217943402796,0.337926565290897,0.376302290245104,0.00076875451444777,0.0816045410353385,0.0777807363815362,0.000112721790940228,9.31268618610788e-05,0.0720065258187776,0.0714823244037605,7.59581220579785e-05,7.02486506579992e-05,0.0633468108260639,0.0639868201755372,9.7733240328886e-05,0.000154196066278656,0.0931382108810948,0.0938852529982037,0.00013211552164323,3.37490505256331e-05,0.0252129219685248,0.0243580557691114,4.87768404946454e-06,2.89830016867159e-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58004801743939e-23,1.68873790419581e-18,5.01142673552442e-10,1.46580894990828e-07,2.64064584540194e-06,0.00113776299785772,0.0197551983733704,4.12714489582959,4.08909550163356,0.0320980475145614,0.0637211393898972,6.25692538262974,6.15943133580316,0.0592357229733811,0.122623043042693,10.5879221096876,10.5956677078689,0.128410966382478,0.0257677497453865,2.75287481109513,2.63912341834049,0.0192748357256562,0.0595060499428157,6.84109324111078,6.43105138981644,0.0476331779814543,0.00923163194967306,0.0910621800371467,11.8826130026328,13.5464006097465,5.06950802104045,3.36044582017695,0.0076435000093394,0.00201695699038673,0.019916696092108,3.69507255050069,4.21987991697504,0.200334066072299,12.7959481636504,13.7421859415245,0.164482942528892,0.00675434049503669,0.149248643085556,0.146628613638219,0.000267936304942159,0.000523213348358785,0.381617053770816,0.388643003773705,0.00408792346243523,0.0392688541336083,5.3274322676785,5.41657102220441,0.0529225036511059,0.0605231615437506,5.45700867893999,5.75629325953644,0.047712458221735,0.00222430057513268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20156341262627e-22,4.449546910734e-18,1.01229483321986e-09,1.9591159695663e-07,3.79557584330376e-06,0.00924969657881651,0.316578214215124,29.5824968868531,27.7945830599396,0.32085089546825,0.196313698470957,18.4818648690425,17.9891910052763,0.201872132165999,0.0729630815968016,6.466976468355,6.7052579377942,0.0579380891444599,0.017428178222531,2.06356012035989,2.02015190863779,0.0135371989266351,0.102584518225441,9.05457635893839,8.17934530614702,0.084464535754953,0.00774100457152223,0.0557500241055089,7.58245837470816,9.58663812823288,6.36862657400518,4.76512386528934,0.0207717804786613,0.0011629429931496,0.000228221942514096,0.320152876345042,0.385933065259266,0.00625628196899182,1.16311117974632,1.35646594702403,0.00595885126312493,0.000737692540583145,0.152174498324657,0.148042237410344,5.24939789779689e-05,1.12383036115732e-05,0.0315921990251027,0.033045859317927,0.00190169763185211,0.0367472465119951,4.26106187395273,4.39751506140462,0.0560419320581498,0.0432744441826303,4.6789780503783,4.74480908758699,0.0272686757498698,0.00149667146618177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10054030471028e-22,3.79697553304333e-18,1.39009321911323e-09,2.02666457217038e-07,4.42647985171086e-06,0.0144636357944316,0.811367858209379,95.8438829754627,95.1069432258646,0.827263170311424,0.0243691784521614,1.94179443715306,2.12870040361865,0.0182353815395309,0.177564599647794,14.6779966673541,14.2801744130029,0.181091520952756,0.206039397453144,16.0070942221756,15.4242647619393,0.206410982287406,0.0525189184895174,6.7056069696585,7.32753730861972,0.0528042546915932,0.00402789302596961,0.0029987268539015,1.37422621937958,1.93492394523892,3.06139909568127,2.69263551279976,0.0101157744736629,0.00713471886949615,0.12803370612572,11.3213226824206,11.9253532032749,0.189950302173541,1.86487856794547,1.53652928551866,0.00570094098223067,0.013938603624894,3.61067421708461,3.47915136277886,0.0229973799676688,0.0876927125968856,9.55565979056809,9.35771012408238,0.0950758262878472,0.0521834718749066,6.59194048279302,6.81520718518189,0.0569266282542059,0.117005764754682,10.9287061168602,11.6964475453344,0.100405902463427,0.00478131340146586
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08504576990952e-23,8.02310148848776e-18,1.31266501984714e-09,3.15753516917583e-07,6.01639077370755e-06,0.00988479557632318,0.262490179456644,22.611557341183,21.9338211758349,0.264715330884141,0.0193642013085345,1.41034449761977,1.09703116817362,0.0134609740589245,0.349020425453225,31.3220185369154,28.3700307961106,0.32439171999315,0.027034008997137,4.78950917887942,5.04442850693325,0.0470793173664402,0.148108916592494,12.3865606612449,14.403955672457,0.154420306930066,0.00611200237799157,0.000380111850527952,0.253205194783698,0.288666054179493,0.435299888091827,0.409930795229179,0.000400466997320434,0.00434040599221421,0.0997403685126644,10.2132094808903,10.7120499966086,0.136344000193964,1.14213537800449,0.91389044953291,0.00189001484636882,0.00434457855249231,1.46450454723366,1.41322171544859,0.00430354953482642,0.00246404796831177,1.12117472959862,0.983709063390455,0.011023503263725,0.171108959611859,17.3017980252843,16.8393232012575,0.190527888229676,0.243886377486221,18.2985298203828,19.4670843837378,0.213854864400596,0.00767829691495985
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33361114688946e-22,5.38232121916416e-18,1.14666397272137e-09,2.11452425308016e-07,4.34323252368914e-06,0.0147928778186801,0.852818383438485,115.169697073753,110.996705412875,0.83956076104845,0.121094861978929,11.808023961613,12.4570312668226,0.128041646167334,0.122746557630211,9.64859709068078,10.327395512726,0.127335944061931,0.0152876347617889,2.06138955826925,1.98165952074201,0.0239774929493623,0.363436634817792,33.187596096103,32.0033230334628,0.340960296305437,0.014020253704685,0.0322519614494626,6.47251459262107,7.76780084167335,7.20340342282197,5.58630277187924,0.0209306036481009,0.00700690367038109,0.106210167686722,10.5403297665859,11.6326113935506,0.203793928687217,4.64453130083606,4.67054322158825,0.025706058481043,0.00379638342951874,0.498239236065636,0.53968583927552,0.000494390221517362,4.6343795045647e-05,0.0332789321086596,0.0344406672100779,0.000206054380286248,0.00253346524616934,1.24165844857208,1.29785248951268,0.00829662248178875,0.0275240180881957,3.78676104313151,3.75217248267134,0.0217583941007311,0.00117641248065778
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91231263049966e-23,6.75484039502219e-18,5.07903230737818e-10,2.01078604389024e-07,3.53642305737181e-06,0.00053342854269226,0.00909832701772676,1.56542169727871,1.5787519035159,0.0102133926200782,0.00106404473757574,0.162342464504881,0.147638243585847,0.00180104059635164,0.0306687698220598,3.45473604584105,2.96044562160237,0.0300994874794357,0.0191355160091912,2.39568379841011,2.31063382745211,0.0237636387711802,0.138111735863052,11.7995377089258,11.5274065154074,0.12999813830466,0.00513770635534511,0.00125645200961054,0.873523331727181,1.18336737915151,0.884627623634378,0.780637037874733,0.00159525376244904,0.000208680381205677,0.00110764447074061,0.477505205401752,0.493216407814098,0.00148545499468396,0.0562541787511943,0.0535077642816915,6.41786741480774e-05,0.000205583739032778,0.176988854482224,0.177127180801176,0.000367917582576539,0.000999419253024117,0.466459268768098,0.470923649936228,0.00128767074013596,0.000926803543207475,0.35932351697663,0.365022294948373,0.000709762460320019,0.000239440139099069,0.12068555808888,0.117749192604396,6.70857878951474e-05,4.14502934925584e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56696336325481e-22,4.48251629143903e-18,1.42013950692495e-09,2.75241321375516e-07,4.35109141017272e-06,0.0118484597203445,0.27991906904319,25.6963040221128,25.6258714964464,0.346335181446021,0.210115180231969,17.3458133547372,17.7621250456935,0.154454633824032,0.0131589253004077,1.34864170203913,1.59798256549677,0.005440681863678,0.0145218974798862,2.93409889986792,2.88240880126503,0.0263214404385534,0.201700248191918,16.6753075478242,16.0528775761372,0.186865804115657,0.0087870448199937,0.00203147485324779,1.82068545192814,2.48222641343312,8.88983706014111,8.53021216213025,0.0382635801041059,0.00541225469230939,0.0155650017801395,4.00390977335493,4.39722123443766,0.0342966327342651,2.44103350962189,2.47614149703587,0.0057097642227423,0.00124561778189191,0.542566904886484,0.548903593331401,0.000306618936400983,8.99824309026547e-05,0.161177331381208,0.159153127986947,0.000365895151677633,0.00298692090694366,1.34584256779921,1.40971958990501,0.00762973290669924,0.0166338806776603,3.33272284743308,3.2996054934291,0.0115553616570587,0.000713910630534883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86460199546967e-22,2.35656895404953e-17,2.55741180245956e-09,5.79984227424974e-07,1.09457812386698e-05,0.026028466840476,0.927917270925074,83.0155575136262,80.8182695747197,0.778119057182344,0.580612716087678,47.9745856404396,49.0002365659114,0.619035572149854,0.0419630577651484,7.17468317407433,9.48221980117103,0.0694170800267439,0.0202062590435589,2.78586099548912,2.81166976533653,0.0252552244916353,0.271750272410586,21.6819426537426,21.435509021484,0.251376398437819,0.011402078500829,0.0170540801308682,3.78358645131824,5.03946476905814,5.81958459464476,4.88907545422871,0.0199200299362324,0.00118670549503681,5.85494860165315e-05,0.178482655053473,0.186000714085342,0.000197068852961312,0.123082340000842,0.124622572325983,6.5587071716216e-05,4.94871932871204e-05,0.0683395340346143,0.0676859423388552,6.60877499878934e-05,0.000185077494375705,0.144828757975624,0.144655122838393,0.000291863105575251,0.000783412136371319,0.667447500074454,0.696190230787521,0.0028050351777572,0.00752003983537937,1.74363995418731,1.70893612421428,0.00513894932101713,0.000298554790752542
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07382847319704e-22,8.85384123584528e-18,1.87151900147941e-09,2.73027961825418e-07,6.34630844246717e-06,0.0258617820571464,1.51188843848765,225.024019239879,215.603643498126,1.42123807373697,0.0410180719592192,6.36729960421037,7.091843418578,0.0143354644201099,0.373274732675646,29.1582710212381,29.2912360579384,0.380384545825166,0.0377179405627563,6.75314702886429,7.62737012907574,0.0583744065177898,0.0841316988819491,10.8313563804353,11.0115451099407,0.0644718523743516,0.00545762549968342,0.0117167240034741,3.55775546960625,4.558438815786,6.23605839918173,5.05084266067038,0.0303516518445136,0.00257456304674301,0.00424526733776619,2.12638602087063,2.38785607808939,0.0389416809710373,4.42932631285881,4.4911345708716,0.0233790877987684,0.0137020138801471,2.7722439741866,2.73143357334073,0.0110152315595581,0.006379410197986,2.07761927298017,2.09356186387728,0.00750764255362203,0.0181642848813677,4.19987466253421,4.35485776622163,0.0265811405404354,0.0671930568036204,7.41915801262786,7.87289432279669,0.0618451515214376,0.00304870251376489
